=== Lexer Output ===
Source File: parse_test.ec
Token Count: 880



------------------------------------------
| Lexeme               | Token           |
------------------------------------------
| const                | TOKEN_CONST     |
| number               | TOKEN_NUMBER    |
| pi                   | TOKEN_IDENTIFIER |
| =                    | TOKEN_ASSIGN    |
| 3.14159              | TOKEN_FLOAT     |
| ;                    | TOKEN_SEMICOLON |
| number               | TOKEN_NUMBER    |
| global_x             | TOKEN_IDENTIFIER |
| =                    | TOKEN_ASSIGN    |
| 10                   | TOKEN_INTEGER   |
| ;                    | TOKEN_SEMICOLON |
| number               | TOKEN_NUMBER    |
| add                  | TOKEN_IDENTIFIER |
| (                    | TOKEN_LPAREN    |
| number               | TOKEN_NUMBER    |
| a                    | TOKEN_IDENTIFIER |
| ,                    | TOKEN_COMMA     |
| number               | TOKEN_NUMBER    |
| b                    | TOKEN_IDENTIFIER |
| )                    | TOKEN_RPAREN    |
| {                    | TOKEN_LBRACE    |
| return               | TOKEN_RETURN    |
| a                    | TOKEN_IDENTIFIER |
| +                    | TOKEN_PLUS      |
| b                    | TOKEN_IDENTIFIER |
| ;                    | TOKEN_SEMICOLON |
| }                    | TOKEN_RBRACE    |
| number               | TOKEN_NUMBER    |
| square               | TOKEN_IDENTIFIER |
| (                    | TOKEN_LPAREN    |
| number               | TOKEN_NUMBER    |
| x                    | TOKEN_IDENTIFIER |
| )                    | TOKEN_RPAREN    |
| {                    | TOKEN_LBRACE    |
| return               | TOKEN_RETURN    |
| x                    | TOKEN_IDENTIFIER |
| *                    | TOKEN_MUL       |
| x                    | TOKEN_IDENTIFIER |
| ;                    | TOKEN_SEMICOLON |
| }                    | TOKEN_RBRACE    |
| number               | TOKEN_NUMBER    |
| factorial            | TOKEN_IDENTIFIER |
| (                    | TOKEN_LPAREN    |
| number               | TOKEN_NUMBER    |
| n                    | TOKEN_IDENTIFIER |
| )                    | TOKEN_RPAREN    |
| {                    | TOKEN_LBRACE    |
| if                   | TOKEN_IF        |
| (                    | TOKEN_LPAREN    |
| n                    | TOKEN_IDENTIFIER |
| <=                   | TOKEN_LESSEQUAL |
| 1                    | TOKEN_INTEGER   |
| )                    | TOKEN_RPAREN    |
| return               | TOKEN_RETURN    |
| 1                    | TOKEN_INTEGER   |
| ;                    | TOKEN_SEMICOLON |
| else                 | TOKEN_ELSE      |
| return               | TOKEN_RETURN    |
| n                    | TOKEN_IDENTIFIER |
| *                    | TOKEN_MUL       |
